Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ModesTestSuite,Chrome 70.0.3538.77,,2018-11-01 16:40:27,2018-11-01 16:40:39,11.448s,PASSED
,,,,,,
Test Cases/RecordMode,Chrome 70.0.3538.77,,2018-11-01 16:40:27,2018-11-01 16:40:39,11.139s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-01 16:40:28,2018-11-01 16:40:31,3.243s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-01 16:40:31,2018-11-01 16:40:34,3.174s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-01 16:40:34,2018-11-01 16:40:35,0.394s,PASSED
click,Chrome 70.0.3538.77,,2018-11-01 16:40:35,2018-11-01 16:40:35,0.210s,PASSED
setEncryptedText,Chrome 70.0.3538.77,,2018-11-01 16:40:35,2018-11-01 16:40:36,0.833s,PASSED
click,Chrome 70.0.3538.77,,2018-11-01 16:40:36,2018-11-01 16:40:36,0.196s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-11-01 16:40:36,2018-11-01 16:40:37,0.641s,PASSED
